2021/09/02, 13:20:06, [    4],[    1],D,0,0,0,AC,0,82,0,59,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,58,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,6,0,50,0,0,0,0,0,6,0,50,0,1,0,0,0,6,0,50,0,2,0,0,0,6,0,50,0,3,0,0,0,6,0,F,0,1,0,0,0,
2021/09/02, 13:20:06, [    3],[    1],E,0,0,0,C4,1,1E,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,66,0,1,1,0,0,1,2,0,0,1,3,0,0,1,4,0,0,1,5,0,0,1,6,0,0,2,1,0,0,2,2,0,0,2,3,0,0,2,4,0,0,2,5,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1E,0,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1E,0,67,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1E,0,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1E,0,68,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2021/09/02, 13:20:06, [    1],[    1],F,0,0,0,18,1,6E,0,79,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6E,0,79,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1E,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,70,0,A,0,A4,0,1,0,1,0,1,0,0,0,6,0,5A,FF,1,0,2,4,
2021/09/02, 13:20:06, [    6],[    1],10,0,0,0,1C,3,52,1,70,0,4E,1,A0,0,1,0,1,0,0,0,0,0,A,0,0,0,4A,4F,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,FF,FF,0,0,47,45,4E,45,52,41,4C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,7,0,0,0,56,41,52,49,41,42,4C,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,FF,FF,0,0,49,4E,2F,4F,55,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,A,0,FF,FF,0,0,52,4F,42,4F,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,B,0,FF,FF,0,0,53,59,53,54,45,4D,20,49,4E,46,4F,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,C,0,FF,FF,0,0,45,58,2E,20,4D,45,4D,4F,52,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,D,0,FF,FF,0,0,53,45,54,55,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,F,0,FF,FF,0,0,53,41,46,45,54,59,20,46,55,4E,43,2E,0,0,0,0,0,0,0,0,0,0,0,0,9,0,82,0,FF,FF,0,0,50,4D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,0,94,0,FF,FF,0,0,22,0,70,0,1E,0,A1,0,1,0,1,0,0,0,A,0,0,0,1,0,2,0,3,0,4,0,5,0,6,0,8,0,9,0,A,0,12,1,70,0,E,1,A2,0,1,0,1,0,0,0,0,0,8,0,0,0,4A,4F,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,53,45,4C,45,43,54,20,4A,4F,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,43,52,45,41,54,45,20,4E,45,57,20,4A,4F,42,0,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,4A,4F,42,20,43,41,50,41,43,49,54,59,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,43,54,52,4C,20,4D,41,53,54,45,52,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,43,59,43,4C,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,16,0,0,0,0,0,4A,4F,42,20,45,44,49,54,28,50,4C,41,59,29,0,0,0,0,0,0,0,0,0,0,F,0,10,0,0,0,0,0,50,4C,41,59,20,45,44,49,54,20,4A,4F,42,20,4C,49,53,54,0,0,0,0,0,0,10,0,10,0,0,0,0,0,22,0,70,0,1E,0,A3,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,4,0,6,0,9,0,D,0,F,0,10,0,52,0,70,0,4E,0,A2,0,1,0,1,0,0,0,1,0,2,0,0,0,57,45,41,56,49,4E,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,0,1C,0,0,0,0,0,47,45,4E,45,52,41,4C,20,44,49,41,47,2E,0,0,0,0,0,0,0,0,0,0,0,3F,0,9B,0,0,0,0,0,16,0,70,0,12,0,A3,0,1,0,1,0,0,0,1,0,2,0,0,0,C,0,3F,0,
2021/09/02, 13:20:06, [    1],[    1],11,0,0,0,7C,1,52,1,70,0,4E,1,A2,0,1,0,1,0,0,0,2,0,A,0,0,0,42,59,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1E,0,0,0,0,0,49,4E,54,45,47,45,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1F,0,0,0,0,0,44,4F,55,42,4C,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,52,45,41,4C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,0,0,0,0,53,54,52,49,4E,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,50,4F,53,49,54,49,4F,4E,28,52,4F,42,4F,54,29,0,0,0,0,0,0,0,0,0,5,0,23,0,0,0,0,0,4C,4F,43,41,4C,20,56,41,52,49,41,42,4C,45,0,0,0,0,0,0,0,0,0,0,8,0,26,0,0,0,0,0,54,49,4D,45,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,AF,0,0,0,0,0,54,49,4D,45,52,20,46,4C,41,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,B0,0,0,0,0,0,46,4C,41,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,C8,0,0,0,0,0,26,0,70,0,22,0,A3,0,1,0,1,0,0,0,2,0,A,0,0,0,0,0,1,0,2,0,3,0,4,0,5,0,8,0,11,0,12,0,13,0,
2021/09/02, 13:20:06, [    1],[    2],12,0,0,0,36,3,F2,2,70,0,EE,2,A2,0,1,0,1,0,0,0,3,0,17,0,0,0,45,58,54,45,52,4E,41,4C,20,49,4E,50,55,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,58,54,45,52,4E,41,4C,20,4F,55,54,50,55,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,47,45,4E,45,52,41,4C,20,50,55,52,50,4F,53,45,20,49,4E,50,55,54,0,0,0,2,0,0,0,0,0,0,0,47,45,4E,45,52,41,4C,20,50,55,52,50,4F,53,45,20,4F,55,54,50,55,54,0,0,3,0,0,0,0,0,0,0,53,50,45,43,49,46,49,43,20,49,4E,50,55,54,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,53,50,45,43,49,46,49,43,20,4F,55,54,50,55,54,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,52,49,4E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,52,45,47,49,53,54,45,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,41,55,58,49,4C,49,41,52,59,20,52,45,4C,41,59,0,0,0,0,0,0,0,0,0,A,0,0,0,0,0,0,0,49,4E,54,45,52,4E,41,4C,20,43,4F,4E,54,52,4F,4C,20,53,54,41,54,55,53,0,B,0,0,0,0,0,0,0,50,53,45,55,44,4F,20,49,4E,50,55,54,20,53,49,47,0,0,0,0,0,0,0,0,C,0,0,0,0,0,0,0,4E,45,54,57,4F,52,4B,20,49,4E,50,55,54,0,0,0,0,0,0,0,0,0,0,0,D,0,0,0,0,0,0,0,4E,45,54,57,4F,52,4B,20,4F,55,54,50,55,54,0,0,0,0,0,0,0,0,0,0,E,0,0,0,0,0,0,0,41,4E,41,4C,4F,47,20,4F,55,54,50,55,54,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,53,56,20,50,4F,57,45,52,20,53,54,41,54,55,53,0,0,0,0,0,0,0,0,0,11,0,9C,0,0,0,0,0,4C,41,44,44,45,52,20,45,44,49,54,4F,52,0,0,0,0,0,0,0,0,0,0,0,12,0,4F,0,81,0,0,0,52,45,4D,4F,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,9E,0,0,0,0,0,54,45,52,4D,49,4E,41,4C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1D,0,0,0,0,0,0,0,43,4F,4D,4D,55,4E,49,43,41,54,49,4F,4E,20,4D,4F,4E,49,54,4F,52,0,0,0,1E,0,0,0,0,0,0,0,49,4F,20,53,49,4D,55,4C,41,54,49,4F,4E,20,4C,49,53,54,0,0,0,0,0,0,21,0,0,0,0,0,0,0,52,42,20,53,54,4F,50,20,46,41,43,54,4F,52,20,4D,4F,4E,49,54,4F,52,0,0,24,0,A0,0,0,0,0,0,55,53,45,52,20,47,52,4F,55,50,20,49,4E,50,55,54,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,55,53,45,52,20,47,52,4F,55,50,20,4F,55,54,50,55,54,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,40,0,70,0,3C,0,A3,0,1,0,1,0,0,0,3,0,17,0,0,0,0,0,1,0,2,0,3,0,4,0,5,0,7,0,9,0,A,0,B,0,C,0,D,0,E,0,10,0,11,0,12,0,17,0,1D,0,1E,0,21,0,24,0,25,0,26,0,
2021/09/02, 13:20:06, [    2],[    1],13,0,0,0,8C,2,52,2,70,0,4E,2,A2,0,1,0,1,0,0,0,4,0,12,0,0,0,43,55,52,52,45,4E,54,20,50,4F,53,49,54,49,4F,4E,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,43,4F,4D,4D,41,4E,44,20,50,4F,53,49,54,49,4F,4E,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,57,4F,52,4B,20,48,4F,4D,45,20,50,4F,53,0,0,0,0,0,0,0,0,0,0,0,3,0,2A,0,0,0,0,0,53,45,43,4F,4E,44,20,48,4F,4D,45,20,50,4F,53,0,0,0,0,0,0,0,0,0,4,0,2B,0,0,0,0,0,50,4F,57,45,52,20,4F,4E,2F,4F,46,46,20,50,4F,53,0,0,0,0,0,0,0,0,6,0,2C,0,0,0,0,0,54,4F,4F,4C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2D,0,0,0,0,0,53,48,4F,43,4B,20,53,45,4E,53,20,4C,45,56,45,4C,0,0,0,0,0,0,0,0,A,0,2E,0,0,0,0,0,55,53,45,52,20,43,4F,4F,52,44,49,4E,41,54,45,0,0,0,0,0,0,0,0,0,B,0,2F,0,0,0,0,0,52,4F,42,4F,54,20,43,41,4C,49,42,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,32,0,0,0,0,0,4F,56,45,52,52,55,4E,26,53,2D,53,45,4E,53,4F,52,0,0,0,0,0,0,0,0,12,0,34,0,0,0,0,0,4C,49,4D,49,54,20,52,45,4C,45,41,53,45,0,0,0,0,0,0,0,0,0,0,0,13,0,35,0,0,0,0,0,53,48,49,46,54,20,56,41,4C,55,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1F,0,37,0,0,0,0,0,54,4F,4F,4C,20,49,4E,54,45,52,46,45,52,45,0,0,0,0,0,0,0,0,0,0,20,0,A3,0,0,0,0,0,4D,41,4E,55,41,4C,20,42,52,41,4B,45,20,52,45,4C,45,41,53,45,0,0,0,0,2C,0,A4,0,0,0,0,0,50,45,4E,44,41,4E,54,20,4F,53,43,49,4C,4C,4F,53,43,4F,50,45,0,0,0,0,2D,0,80,0,84,0,0,0,53,48,4F,43,4B,20,53,45,4E,53,20,4C,56,2E,28,43,55,52,52,45,4E,54,29,0,32,0,A7,0,0,0,0,0,52,45,47,45,4E,45,52,41,54,49,4F,4E,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,86,0,0,0,33,44,20,47,52,41,50,48,49,43,53,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,C9,0,49,0,0,0,36,0,70,0,32,0,A3,0,1,0,1,0,0,0,4,0,12,0,0,0,0,0,1,0,3,0,4,0,6,0,7,0,A,0,B,0,E,0,12,0,13,0,1F,0,20,0,2C,0,2D,0,32,0,34,0,38,0,
2021/09/02, 13:20:06, [    1],[    1],14,0,0,0,F8,2,92,1,70,0,8E,1,A2,0,1,0,1,0,0,0,5,0,C,0,0,0,56,45,52,53,49,4F,4E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,4D,4F,4E,49,54,4F,52,49,4E,47,20,54,49,4D,45,0,0,0,0,0,0,0,0,0,1,0,39,0,0,0,0,0,43,4F,4E,54,52,4F,4C,4C,45,52,20,49,4E,46,4F,52,4D,41,54,49,4F,4E,0,0,2,0,AB,0,0,0,0,0,41,4C,41,52,4D,20,48,49,53,54,4F,52,59,0,0,0,0,0,0,0,0,0,0,0,5,0,3A,0,0,0,0,0,49,2F,4F,20,4D,53,47,20,48,49,53,54,4F,52,59,0,0,0,0,0,0,0,0,0,7,0,54,0,0,0,0,0,4C,4F,47,44,41,54,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,0,6D,0,0,0,0,0,55,53,45,52,20,44,45,46,49,4E,49,54,49,4F,4E,20,4D,45,4E,55,0,0,0,0,F,0,7D,0,0,0,0,0,43,50,55,20,52,45,53,45,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,CD,0,0,0,0,0,51,52,20,43,4F,44,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,AD,0,89,0,0,0,4E,45,54,57,4F,52,4B,20,55,54,49,4C,49,54,59,0,0,0,0,0,0,0,0,0,14,0,CA,0,0,0,0,0,48,49,2D,53,50,45,45,44,20,45,54,48,45,52,2E,45,52,52,20,4C,4F,47,2E,0,15,0,CB,0,0,0,0,0,53,45,43,55,52,49,54,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1A,0,3C,0,0,0,0,0,2A,0,70,0,26,0,A3,0,1,0,1,0,0,0,5,0,C,0,0,0,0,0,1,0,2,0,5,0,7,0,E,0,F,0,10,0,13,0,14,0,15,0,1A,0,12,1,70,0,E,1,A2,0,1,0,1,0,0,0,6,0,8,0,0,0,4C,4F,41,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3D,0,0,0,0,0,53,41,56,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3E,0,0,0,0,0,56,45,52,49,46,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3F,0,0,0,0,0,44,45,4C,45,54,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40,0,0,0,0,0,44,45,56,49,43,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,42,0,0,0,0,0,46,54,50,20,50,52,4F,46,49,4C,45,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,46,4F,4C,44,45,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,43,0,0,0,0,0,43,4F,4D,4D,20,53,45,54,54,49,4E,47,28,45,58,50,41,4E,44,29,0,0,0,0,9,0,0,0,0,0,0,0,22,0,70,0,1E,0,A3,0,1,0,1,0,0,0,6,0,8,0,0,0,0,0,1,0,2,0,3,0,5,0,6,0,7,0,9,0,
2021/09/02, 13:20:06, [    1],[    2],15,0,0,0,EC,3,B2,1,70,0,AE,1,A2,0,1,0,1,0,0,0,8,0,D,0,0,0,54,45,41,43,48,49,4E,47,20,43,4F,4E,44,2E,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,44,49,53,50,4C,41,59,20,43,4F,4C,4F,52,20,43,4F,4E,44,2E,0,0,0,0,0,7,0,7F,0,0,0,0,0,53,45,54,20,57,4F,52,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,0,7E,0,0,0,0,0,52,45,53,45,52,56,45,20,4A,4F,42,20,4E,41,4D,45,0,0,0,0,0,0,0,0,C,0,47,0,0,0,0,0,55,53,45,52,20,49,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,49,0,0,0,0,0,53,49,4D,55,4C,54,41,4E,45,4F,55,53,20,4B,45,59,20,48,45,4C,50,0,0,0,11,0,4B,0,0,0,0,0,4A,4F,47,20,4B,45,59,20,41,4C,4C,4F,43,2E,0,0,0,0,0,0,0,0,0,0,12,0,6E,0,0,0,0,0,57,52,4F,4E,47,20,44,41,54,41,20,4C,4F,47,0,0,0,0,0,0,0,0,0,0,18,0,63,0,0,0,0,0,45,4E,45,52,47,59,20,53,41,56,49,4E,47,20,46,55,4E,43,54,49,4F,4E,0,0,19,0,6F,0,0,0,0,0,45,4E,43,4F,44,45,52,20,4D,41,49,4E,54,45,4E,41,4E,43,45,0,0,0,0,0,1A,0,AA,0,0,0,0,0,53,45,54,54,4D,20,53,45,54,55,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1D,0,BC,0,0,0,0,0,52,4F,42,4F,54,20,41,52,52,41,4E,47,45,4D,45,4E,54,20,53,45,54,55,50,0,1E,0,CE,0,0,0,0,0,53,50,45,45,44,20,4F,56,45,52,52,49,44,45,20,53,45,54,54,49,4E,47,0,0,22,0,0,0,0,0,0,0,2C,0,70,0,28,0,A3,0,1,0,1,0,0,0,8,0,D,0,0,0,0,0,7,0,B,0,C,0,D,0,11,0,12,0,18,0,19,0,1A,0,1D,0,1E,0,22,0,D2,0,70,0,CE,0,A2,0,1,0,1,0,0,0,9,0,6,0,0,0,54,49,4D,45,52,20,44,45,4C,41,59,20,53,45,54,0,0,0,0,0,0,0,0,0,B,0,8F,0,0,0,0,0,53,41,46,45,54,59,20,4C,4F,47,49,43,20,43,49,52,43,55,49,54,0,0,0,0,C,0,8D,0,0,0,0,0,53,4C,43,20,53,49,47,4E,41,4C,20,44,49,53,50,4C,41,59,0,0,0,0,0,0,11,0,D1,0,0,0,0,0,53,4C,43,20,53,49,47,4E,41,4C,20,44,49,53,50,4C,41,59,20,53,45,54,0,0,12,0,D2,0,0,0,0,0,53,50,49,4E,20,43,4F,4D,4D,45,4E,54,20,53,45,54,0,0,0,0,0,0,0,0,13,0,D3,0,0,0,0,0,54,4F,54,41,4C,20,43,52,43,20,44,49,53,50,4C,41,59,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1E,0,70,0,1A,0,A3,0,1,0,1,0,0,0,9,0,6,0,0,0,B,0,C,0,11,0,12,0,13,0,15,0,F2,0,70,0,EE,0,A2,0,1,0,1,0,0,0,A,0,7,0,0,0,50,4D,28,52,45,44,55,43,45,52,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,49,4E,53,50,45,43,54,49,4F,4E,20,4E,4F,54,49,43,45,0,0,0,0,0,0,0,2,0,97,0,0,0,0,0,49,4E,53,50,45,43,54,49,4F,4E,20,52,45,43,4F,52,44,0,0,0,0,0,0,0,3,0,98,0,0,0,0,0,4F,50,45,52,41,54,49,4E,47,20,53,54,41,54,55,53,0,0,0,0,0,0,0,0,4,0,D5,0,8D,0,0,0,4A,4F,42,20,4D,4F,4E,49,54,4F,52,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,D6,0,0,0,0,0,53,54,45,50,20,44,49,41,47,4E,4F,53,49,53,0,0,0,0,0,0,0,0,0,0,6,0,D7,0,0,0,0,0,52,4F,42,4F,54,20,4D,4F,4E,49,54,4F,52,0,0,0,0,0,0,0,0,0,0,0,7,0,D8,0,0,0,0,0,20,0,70,0,1C,0,A3,0,1,0,1,0,0,0,A,0,7,0,0,0,0,0,2,0,3,0,4,0,5,0,6,0,7,0,
2021/09/02, 13:20:06, [    2],[    1],16,0,0,0,4C,0,E,0,70,0,A,0,A4,0,1,0,1,0,0,0,0,0,3A,0,70,0,36,0,DC,0,1,0,1,0,0,2,0,0,3,F,0,0,54,45,41,43,48,2D,4C,4F,43,4B,20,73,65,74,20,0,3,14,0,0,54,75,72,6E,20,6F,6E,20,73,65,72,76,6F,20,70,6F,77,65,72,20,
